NUMPERIODO|FECPROCESO|NUMRIESGO|NUMDEPARTAMENTO|NUMANTIGUEDAD|NUMSEGMENTO|NUMGCU|CANTIDAD
202108|2021-08-01 00:00:00.0|1|6|3|1|2|1
202108|2021-08-01 00:00:00.0|1|6|3|2|2|340
202108|2021-08-01 00:00:00.0|1|6|3|3|2|336
202108|2021-08-01 00:00:00.0|1|6|4|2|2|43
202108|2021-08-01 00:00:00.0|1|6|4|3|2|30
202108|2021-08-01 00:00:00.0|1|6|5|2|2|67
202108|2021-08-01 00:00:00.0|1|6|5|3|2|25
202108|2021-08-01 00:00:00.0|1|7|1|1|2|1
202108|2021-08-01 00:00:00.0|1|7|1|2|2|1762
202108|2021-08-01 00:00:00.0|1|7|1|3|1|1
202108|2021-08-01 00:00:00.0|1|7|1|3|2|1086
202108|2021-08-01 00:00:00.0|1|7|2|1|2|2
202108|2021-08-01 00:00:00.0|1|7|2|2|2|965
202108|2021-08-01 00:00:00.0|1|7|2|3|2|671
202108|2021-08-01 00:00:00.0|1|7|3|1|2|2
202108|2021-08-01 00:00:00.0|1|7|3|2|2|787
202108|2021-08-01 00:00:00.0|1|7|3|3|2|1003
202108|2021-08-01 00:00:00.0|1|7|4|2|2|166
202108|2021-08-01 00:00:00.0|1|7|4|3|2|93
202108|2021-08-01 00:00:00.0|1|7|5|1|2|6
202108|2021-08-01 00:00:00.0|1|7|5|2|2|218
202108|2021-08-01 00:00:00.0|1|7|5|3|2|52
202108|2021-08-01 00:00:00.0|1|8|1|2|2|420
202108|2021-08-01 00:00:00.0|1|8|1|3|2|370
202108|2021-08-01 00:00:00.0|1|8|2|2|2|316
202108|2021-08-01 00:00:00.0|1|8|2|3|2|194
202108|2021-08-01 00:00:00.0|1|8|3|2|2|199
202108|2021-08-01 00:00:00.0|1|8|3|3|2|218
202108|2021-08-01 00:00:00.0|1|8|4|2|2|46
202108|2021-08-01 00:00:00.0|1|8|4|3|2|24
202108|2021-08-01 00:00:00.0|1|8|5|1|2|1
202108|2021-08-01 00:00:00.0|1|8|5|2|2|46
202108|2021-08-01 00:00:00.0|1|8|5|3|2|27
202108|2021-08-01 00:00:00.0|1|9|1|2|2|144
202108|2021-08-01 00:00:00.0|1|9|1|3|2|112
202108|2021-08-01 00:00:00.0|1|9|2|2|2|122
202108|2021-08-01 00:00:00.0|1|9|2|3|2|64
202108|2021-08-01 00:00:00.0|1|9|3|2|2|83
202108|2021-08-01 00:00:00.0|1|9|3|3|2|60
202108|2021-08-01 00:00:00.0|1|9|4|2|2|4
202108|2021-08-01 00:00:00.0|1|9|4|3|2|6
202108|2021-08-01 00:00:00.0|1|9|5|2|2|10
202108|2021-08-01 00:00:00.0|1|9|5|3|2|2
202108|2021-08-01 00:00:00.0|1|10|1|2|2|449
202108|2021-08-01 00:00:00.0|1|10|1|3|2|319
202108|2021-08-01 00:00:00.0|1|10|2|2|2|358
202108|2021-08-01 00:00:00.0|1|10|2|3|2|191
202108|2021-08-01 00:00:00.0|1|10|3|2|2|206
202108|2021-08-01 00:00:00.0|1|10|3|3|2|190
202108|2021-08-01 00:00:00.0|1|10|4|2|2|40
202108|2021-08-01 00:00:00.0|1|10|4|3|2|14
202108|2021-08-01 00:00:00.0|1|10|5|1|2|1
202108|2021-08-01 00:00:00.0|1|10|5|2|2|57
202108|2021-08-01 00:00:00.0|1|10|5|3|2|7
202108|2021-08-01 00:00:00.0|1|11|1|2|2|1062
202108|2021-08-01 00:00:00.0|1|11|1|3|2|922
202108|2021-08-01 00:00:00.0|1|11|2|1|2|1
202108|2021-08-01 00:00:00.0|1|11|2|2|2|563
202108|2021-08-01 00:00:00.0|1|11|2|3|2|439
202108|2021-08-01 00:00:00.0|1|11|3|1|2|1
202108|2021-08-01 00:00:00.0|1|11|3|2|2|481
202108|2021-08-01 00:00:00.0|1|11|3|3|2|511
202108|2021-08-01 00:00:00.0|1|11|4|1|2|1
202108|2021-08-01 00:00:00.0|1|11|4|2|2|96
202108|2021-08-01 00:00:00.0|1|11|4|3|2|68
202108|2021-08-01 00:00:00.0|1|11|5|1|2|1
202108|2021-08-01 00:00:00.0|1|11|5|2|2|124
202108|2021-08-01 00:00:00.0|1|11|5|3|2|41
202108|2021-08-01 00:00:00.0|1|12|1|1|2|1
202108|2021-08-01 00:00:00.0|1|12|1|2|2|1030
202108|2021-08-01 00:00:00.0|1|12|1|3|2|939
202108|2021-08-01 00:00:00.0|1|12|2|1|2|1
202108|2021-08-01 00:00:00.0|1|12|2|2|2|575
202108|2021-08-01 00:00:00.0|1|12|2|3|2|352
202108|2021-08-01 00:00:00.0|1|12|3|1|2|1
202108|2021-08-01 00:00:00.0|1|12|3|2|2|456
202108|2021-08-01 00:00:00.0|1|12|3|3|2|448
202108|2021-08-01 00:00:00.0|1|12|4|2|2|95
202108|2021-08-01 00:00:00.0|1|12|4|3|2|67
202108|2021-08-01 00:00:00.0|1|12|5|1|2|3
202108|2021-08-01 00:00:00.0|1|12|5|2|2|121
202108|2021-08-01 00:00:00.0|1|12|5|3|2|54
202108|2021-08-01 00:00:00.0|1|13|1|1|2|3
202108|2021-08-01 00:00:00.0|1|13|1|2|2|2253
202108|2021-08-01 00:00:00.0|1|13|1|3|2|1715
202108|2021-08-01 00:00:00.0|1|13|2|2|2|1248
202108|2021-08-01 00:00:00.0|1|13|2|3|2|1050
202108|2021-08-01 00:00:00.0|1|13|3|1|2|3
202108|2021-08-01 00:00:00.0|1|13|3|2|2|995
202108|2021-08-01 00:00:00.0|1|13|3|3|2|1067
202108|2021-08-01 00:00:00.0|1|13|4|2|2|202
202108|2021-08-01 00:00:00.0|1|13|4|3|2|103
202108|2021-08-01 00:00:00.0|1|13|5|1|2|2
202108|2021-08-01 00:00:00.0|1|13|5|2|2|265
202108|2021-08-01 00:00:00.0|1|13|5|3|2|75
202108|2021-08-01 00:00:00.0|1|14|1|1|2|1
202108|2021-08-01 00:00:00.0|1|14|1|2|2|1768
202108|2021-08-01 00:00:00.0|1|14|1|3|2|1595
202108|2021-08-01 00:00:00.0|1|14|2|2|2|1005
202108|2021-08-01 00:00:00.0|1|14|2|3|2|749
202108|2021-08-01 00:00:00.0|1|14|3|1|2|2
202108|2021-08-01 00:00:00.0|1|14|3|2|2|810
202108|2021-08-01 00:00:00.0|1|14|3|3|2|976
202108|2021-08-01 00:00:00.0|1|14|4|1|2|1
202108|2021-08-01 00:00:00.0|1|14|4|2|2|187
202108|2021-08-01 00:00:00.0|1|14|4|3|2|113
202108|2021-08-01 00:00:00.0|1|14|5|1|2|3
202108|2021-08-01 00:00:00.0|1|14|5|2|2|190
202108|2021-08-01 00:00:00.0|1|14|5|3|2|104
202108|2021-08-01 00:00:00.0|1|15|1|1|2|15
202108|2021-08-01 00:00:00.0|1|15|1|2|2|14391
202108|2021-08-01 00:00:00.0|1|15|1|3|2|9081
202108|2021-08-01 00:00:00.0|1|15|2|1|2|16
202108|2021-08-01 00:00:00.0|1|15|2|2|2|8645
202108|2021-08-01 00:00:00.0|1|15|2|3|2|5634
202108|2021-08-01 00:00:00.0|1|15|3|1|2|19
202108|2021-08-01 00:00:00.0|1|15|3|2|2|6777
202108|2021-08-01 00:00:00.0|1|15|3|3|2|7703
202108|2021-08-01 00:00:00.0|1|15|4|1|2|12
202108|2021-08-01 00:00:00.0|1|15|4|2|2|1393
202108|2021-08-01 00:00:00.0|1|15|4|3|2|741
202108|2021-08-01 00:00:00.0|1|15|5|1|2|39
202108|2021-08-01 00:00:00.0|1|15|5|2|2|1939
202108|2021-08-01 00:00:00.0|1|15|5|3|2|548
202108|2021-08-01 00:00:00.0|1|16|1|1|2|1
202108|2021-08-01 00:00:00.0|1|16|1|2|2|412
202108|2021-08-01 00:00:00.0|1|16|1|3|2|221
202108|2021-08-01 00:00:00.0|1|16|2|2|2|322
202108|2021-08-01 00:00:00.0|1|16|2|3|2|158
202108|2021-08-01 00:00:00.0|1|16|3|2|2|255
202108|2021-08-01 00:00:00.0|1|16|3|3|2|205
202108|2021-08-01 00:00:00.0|1|16|4|2|2|28
202108|2021-08-01 00:00:00.0|1|16|4|3|2|13
202108|2021-08-01 00:00:00.0|1|16|5|2|2|42
202108|2021-08-01 00:00:00.0|1|16|5|3|2|8
202108|2021-08-01 00:00:00.0|1|17|1|2|2|47
202108|2021-08-01 00:00:00.0|1|17|1|3|2|33
202108|2021-08-01 00:00:00.0|1|17|2|1|2|1
202108|2021-08-01 00:00:00.0|1|17|2|2|2|39
202108|2021-08-01 00:00:00.0|1|17|2|3|2|12
202108|2021-08-01 00:00:00.0|1|17|3|2|2|25
202108|2021-08-01 00:00:00.0|1|17|3|3|2|11
202108|2021-08-01 00:00:00.0|1|17|4|2|2|3
202108|2021-08-01 00:00:00.0|1|17|5|2|2|5
202108|2021-08-01 00:00:00.0|1|17|5|3|2|2
202108|2021-08-01 00:00:00.0|1|18|1|2|2|151
202108|2021-08-01 00:00:00.0|1|18|1|3|2|92
202108|2021-08-01 00:00:00.0|1|18|2|2|2|76
202108|2021-08-01 00:00:00.0|1|18|2|3|2|32
202108|2021-08-01 00:00:00.0|1|18|3|2|2|79
202108|2021-08-01 00:00:00.0|1|18|3|3|2|70
202108|2021-08-01 00:00:00.0|1|18|4|2|2|13
202108|2021-08-01 00:00:00.0|1|18|4|3|2|11
202108|2021-08-01 00:00:00.0|1|18|5|2|2|21
202108|2021-08-01 00:00:00.0|1|18|5|3|2|6
202108|2021-08-01 00:00:00.0|1|19|1|2|2|118
202108|2021-08-01 00:00:00.0|1|19|1|3|2|114
202108|2021-08-01 00:00:00.0|1|19|2|2|2|85
202108|2021-08-01 00:00:00.0|1|19|2|3|2|62
202108|2021-08-01 00:00:00.0|1|19|3|2|2|69
202108|2021-08-01 00:00:00.0|1|19|3|3|2|64
202108|2021-08-01 00:00:00.0|1|19|4|2|2|12
202108|2021-08-01 00:00:00.0|1|19|4|3|2|6
202108|2021-08-01 00:00:00.0|1|19|5|2|2|14
202108|2021-08-01 00:00:00.0|1|19|5|3|2|4
202108|2021-08-01 00:00:00.0|1|20|1|1|2|5
202108|2021-08-01 00:00:00.0|1|20|1|2|2|2849
202108|2021-08-01 00:00:00.0|1|20|1|3|2|2410
202108|2021-08-01 00:00:00.0|1|20|2|1|2|3
202108|2021-08-01 00:00:00.0|1|20|2|2|2|1722
202108|2021-08-01 00:00:00.0|1|20|2|3|2|1226
202108|2021-08-01 00:00:00.0|1|20|3|1|2|2
202108|2021-08-01 00:00:00.0|1|20|3|2|2|1411
202108|2021-08-01 00:00:00.0|1|20|3|3|2|1184
202108|2021-08-01 00:00:00.0|1|20|4|1|2|3
202108|2021-08-01 00:00:00.0|1|20|4|2|2|270
202108|2021-08-01 00:00:00.0|1|20|4|3|2|117
202108|2021-08-01 00:00:00.0|1|20|5|2|2|285
202108|2021-08-01 00:00:00.0|1|20|5|3|2|80
202108|2021-08-01 00:00:00.0|1|21|1|2|2|443
202108|2021-08-01 00:00:00.0|1|21|1|3|2|361
202108|2021-08-01 00:00:00.0|1|21|2|2|2|258
202108|2021-08-01 00:00:00.0|1|21|2|3|2|180
202108|2021-08-01 00:00:00.0|1|21|3|1|2|2
202108|2021-08-01 00:00:00.0|1|21|3|2|2|197
202108|2021-08-01 00:00:00.0|1|21|3|3|2|201
202108|2021-08-01 00:00:00.0|1|21|4|2|2|55
202108|2021-08-01 00:00:00.0|1|21|4|3|2|25
202108|2021-08-01 00:00:00.0|1|21|5|2|2|52
202108|2021-08-01 00:00:00.0|1|21|5|3|2|16
202108|2021-08-01 00:00:00.0|1|22|1|2|2|346
202108|2021-08-01 00:00:00.0|1|22|1|3|2|427
202108|2021-08-01 00:00:00.0|1|22|2|2|2|283
202108|2021-08-01 00:00:00.0|1|22|2|3|2|258
202108|2021-08-01 00:00:00.0|1|22|3|2|2|176
202108|2021-08-01 00:00:00.0|1|22|3|3|2|262
202108|2021-08-01 00:00:00.0|1|22|4|2|2|41
202108|2021-08-01 00:00:00.0|1|22|4|3|2|27
202108|2021-08-01 00:00:00.0|1|22|5|1|2|2
202108|2021-08-01 00:00:00.0|1|22|5|2|2|40
202108|2021-08-01 00:00:00.0|1|22|5|3|2|21
202108|2021-08-01 00:00:00.0|1|23|1|2|2|246
202108|2021-08-01 00:00:00.0|1|23|1|3|2|260
202108|2021-08-01 00:00:00.0|1|23|2|2|2|136
202108|2021-08-01 00:00:00.0|1|23|2|3|2|122
202108|2021-08-01 00:00:00.0|1|23|3|2|2|109
202108|2021-08-01 00:00:00.0|1|23|3|3|2|138
202108|2021-08-01 00:00:00.0|1|23|4|2|2|13
202108|2021-08-01 00:00:00.0|1|23|4|3|2|19
202108|2021-08-01 00:00:00.0|1|23|5|2|2|37
202108|2021-08-01 00:00:00.0|1|23|5|3|2|22
202108|2021-08-01 00:00:00.0|1|24|1|2|2|268
202108|2021-08-01 00:00:00.0|1|24|1|3|2|220
202108|2021-08-01 00:00:00.0|1|24|2|2|2|191
202108|2021-08-01 00:00:00.0|1|24|2|3|2|133
202108|2021-08-01 00:00:00.0|1|24|3|1|2|1
202108|2021-08-01 00:00:00.0|1|24|3|2|2|185
202108|2021-08-01 00:00:00.0|1|24|3|3|2|118
202108|2021-08-01 00:00:00.0|1|24|4|1|2|1
202108|2021-08-01 00:00:00.0|1|24|4|2|2|26
202108|2021-08-01 00:00:00.0|1|24|4|3|2|12
202108|2021-08-01 00:00:00.0|1|24|5|2|2|38
202108|2021-08-01 00:00:00.0|1|24|5|3|2|10
202108|2021-08-01 00:00:00.0|1|25|1|2|2|507
202108|2021-08-01 00:00:00.0|1|25|1|3|2|376
202108|2021-08-01 00:00:00.0|1|25|2|2|2|337
202108|2021-08-01 00:00:00.0|1|25|2|3|2|213
202108|2021-08-01 00:00:00.0|1|25|3|2|2|300
202108|2021-08-01 00:00:00.0|1|25|3|3|2|208
202108|2021-08-01 00:00:00.0|1|25|4|2|2|65
202108|2021-08-01 00:00:00.0|1|25|4|3|2|12
202108|2021-08-01 00:00:00.0|1|25|5|1|2|2
202108|2021-08-01 00:00:00.0|1|25|5|2|2|70
202108|2021-08-01 00:00:00.0|1|25|5|3|2|17
202108|2021-08-01 00:00:00.0|1|99|1|2|2|36
202108|2021-08-01 00:00:00.0|1|99|1|3|2|18
202108|2021-08-01 00:00:00.0|1|99|2|2|2|16
202108|2021-08-01 00:00:00.0|1|99|2|3|2|10
202108|2021-08-01 00:00:00.0|1|99|3|2|2|20
202108|2021-08-01 00:00:00.0|1|99|3|3|2|17
202108|2021-08-01 00:00:00.0|1|99|4|2|2|15
202108|2021-08-01 00:00:00.0|1|99|4|3|2|19
202108|2021-08-01 00:00:00.0|1|99|5|1|2|1
202108|2021-08-01 00:00:00.0|1|99|5|2|2|10
202108|2021-08-01 00:00:00.0|1|99|5|3|2|7
202108|2021-08-01 00:00:00.0|2|1|1|1|2|1
202108|2021-08-01 00:00:00.0|2|1|1|2|2|193
202108|2021-08-01 00:00:00.0|2|1|1|3|2|154
202108|2021-08-01 00:00:00.0|2|1|2|2|2|89
202108|2021-08-01 00:00:00.0|2|1|2|3|2|95
202108|2021-08-01 00:00:00.0|2|1|3|2|2|87
202108|2021-08-01 00:00:00.0|2|1|3|3|2|81
202108|2021-08-01 00:00:00.0|2|1|4|1|2|1
202108|2021-08-01 00:00:00.0|2|1|4|2|2|17
202108|2021-08-01 00:00:00.0|2|1|4|3|2|13
202108|2021-08-01 00:00:00.0|2|1|5|2|2|39
202108|2021-08-01 00:00:00.0|2|1|5|3|2|13
202108|2021-08-01 00:00:00.0|2|2|1|2|2|785
202108|2021-08-01 00:00:00.0|2|2|1|3|2|786
202108|2021-08-01 00:00:00.0|2|2|2|1|2|2
202108|2021-08-01 00:00:00.0|2|2|2|2|2|462
202108|2021-08-01 00:00:00.0|2|2|2|3|2|486
202108|2021-08-01 00:00:00.0|2|2|3|2|2|400
202108|2021-08-01 00:00:00.0|2|2|3|3|2|527
202108|2021-08-01 00:00:00.0|2|2|4|2|2|88
202108|2021-08-01 00:00:00.0|2|2|4|3|2|72
202108|2021-08-01 00:00:00.0|2|2|5|1|2|2
202108|2021-08-01 00:00:00.0|2|2|5|2|2|218
202108|2021-08-01 00:00:00.0|2|2|5|3|2|82
202108|2021-08-01 00:00:00.0|2|3|1|2|2|98
202108|2021-08-01 00:00:00.0|2|3|1|3|2|101
202108|2021-08-01 00:00:00.0|2|3|2|2|2|66
202108|2021-08-01 00:00:00.0|2|3|2|3|2|53
202108|2021-08-01 00:00:00.0|2|3|3|1|2|1
202108|2021-08-01 00:00:00.0|2|3|3|2|2|52
202108|2021-08-01 00:00:00.0|2|3|3|3|2|40
202108|2021-08-01 00:00:00.0|2|3|4|2|2|11
202108|2021-08-01 00:00:00.0|2|3|4|3|2|11
202108|2021-08-01 00:00:00.0|2|3|5|2|2|16
202108|2021-08-01 00:00:00.0|2|3|5|3|2|11
202108|2021-08-01 00:00:00.0|2|4|1|1|2|1
202108|2021-08-01 00:00:00.0|2|4|1|2|2|987
202108|2021-08-01 00:00:00.0|2|4|1|3|2|677
202108|2021-08-01 00:00:00.0|2|4|2|1|2|1
202108|2021-08-01 00:00:00.0|2|4|2|2|2|492
202108|2021-08-01 00:00:00.0|2|4|2|3|2|484
202108|2021-08-01 00:00:00.0|2|4|3|1|2|1
202108|2021-08-01 00:00:00.0|2|4|3|2|2|533
202108|2021-08-01 00:00:00.0|2|4|3|3|2|535
202108|2021-08-01 00:00:00.0|2|4|4|1|2|2
202108|2021-08-01 00:00:00.0|2|4|4|2|2|150
202108|2021-08-01 00:00:00.0|2|4|4|3|2|116
202108|2021-08-01 00:00:00.0|2|4|5|1|2|6
202108|2021-08-01 00:00:00.0|2|4|5|2|2|384
202108|2021-08-01 00:00:00.0|2|4|5|3|2|164
202108|2021-08-01 00:00:00.0|2|5|1|2|2|194
202108|2021-08-01 00:00:00.0|2|5|1|3|2|177
202108|2021-08-01 00:00:00.0|2|5|2|2|2|103
202108|2021-08-01 00:00:00.0|2|5|2|3|2|81
202108|2021-08-01 00:00:00.0|2|5|3|2|2|77
202108|2021-08-01 00:00:00.0|2|5|3|3|2|89
202108|2021-08-01 00:00:00.0|2|5|4|2|2|22
202108|2021-08-01 00:00:00.0|2|5|4|3|2|14
202108|2021-08-01 00:00:00.0|2|5|5|1|2|1
202108|2021-08-01 00:00:00.0|2|5|5|2|2|31
202108|2021-08-01 00:00:00.0|2|5|5|3|2|16
202108|2021-08-01 00:00:00.0|2|6|1|1|2|2
202108|2021-08-01 00:00:00.0|2|6|1|2|2|621
202108|2021-08-01 00:00:00.0|2|6|1|3|2|606
202108|2021-08-01 00:00:00.0|2|6|2|1|2|1
202108|2021-08-01 00:00:00.0|2|6|2|2|2|393
202108|2021-08-01 00:00:00.0|2|6|2|3|2|304
202108|2021-08-01 00:00:00.0|2|6|3|1|2|2
202108|2021-08-01 00:00:00.0|2|6|3|2|2|299
202108|2021-08-01 00:00:00.0|2|6|3|3|2|288
202108|2021-08-01 00:00:00.0|2|6|4|2|2|75
202108|2021-08-01 00:00:00.0|2|6|4|3|2|42
202108|2021-08-01 00:00:00.0|2|6|5|1|2|3
202108|2021-08-01 00:00:00.0|2|6|5|2|2|130
202108|2021-08-01 00:00:00.0|2|6|5|3|2|39
202108|2021-08-01 00:00:00.0|2|7|1|2|2|1260
202108|2021-08-01 00:00:00.0|2|7|1|3|2|817
202108|2021-08-01 00:00:00.0|2|7|2|1|2|3
202108|2021-08-01 00:00:00.0|2|7|2|2|2|745
202108|2021-08-01 00:00:00.0|2|7|2|3|2|658
202108|2021-08-01 00:00:00.0|2|7|3|1|2|3
202108|2021-08-01 00:00:00.0|2|7|3|2|2|702
202108|2021-08-01 00:00:00.0|2|7|3|3|2|785
202108|2021-08-01 00:00:00.0|2|7|4|1|2|1
202108|2021-08-01 00:00:00.0|2|7|4|2|2|227
202108|2021-08-01 00:00:00.0|2|7|4|3|2|98
202108|2021-08-01 00:00:00.0|2|7|5|1|2|12
202108|2021-08-01 00:00:00.0|2|7|5|2|2|561
202108|2021-08-01 00:00:00.0|2|7|5|3|2|129
202108|2021-08-01 00:00:00.0|2|8|1|2|2|464
202108|2021-08-01 00:00:00.0|2|8|1|3|2|347
202108|2021-08-01 00:00:00.0|2|8|2|2|2|235
202108|2021-08-01 00:00:00.0|2|8|2|3|2|160
202108|2021-08-01 00:00:00.0|2|8|3|1|2|2
202108|2021-08-01 00:00:00.0|2|8|3|2|2|237
202108|2021-08-01 00:00:00.0|2|8|3|3|2|175
202108|2021-08-01 00:00:00.0|2|8|4|2|2|54
202108|2021-08-01 00:00:00.0|2|8|4|3|2|24
202108|2021-08-01 00:00:00.0|2|8|5|1|2|2
202108|2021-08-01 00:00:00.0|2|8|5|2|1|1
202108|2021-08-01 00:00:00.0|2|8|5|2|2|137
202108|2021-08-01 00:00:00.0|2|8|5|3|2|53
202108|2021-08-01 00:00:00.0|2|9|1|1|2|1
202108|2021-08-01 00:00:00.0|2|9|1|2|2|155
202108|2021-08-01 00:00:00.0|2|9|1|3|2|114
202108|2021-08-01 00:00:00.0|2|9|2|1|2|1
202108|2021-08-01 00:00:00.0|2|9|2|2|2|104
202108|2021-08-01 00:00:00.0|2|9|2|3|2|60
202108|2021-08-01 00:00:00.0|2|9|3|2|2|60
202108|2021-08-01 00:00:00.0|2|9|3|3|2|69
202108|2021-08-01 00:00:00.0|2|9|4|2|2|13
202108|2021-08-01 00:00:00.0|2|9|4|3|2|7
202108|2021-08-01 00:00:00.0|2|9|5|2|2|14
202108|2021-08-01 00:00:00.0|2|9|5|3|2|3
202108|2021-08-01 00:00:00.0|2|10|1|2|2|469
202108|2021-08-01 00:00:00.0|2|10|1|3|2|276
202108|2021-08-01 00:00:00.0|2|10|2|2|2|237
202108|2021-08-01 00:00:00.0|2|10|2|3|2|138
202108|2021-08-01 00:00:00.0|2|10|3|2|2|198
202108|2021-08-01 00:00:00.0|2|10|3|3|2|135
202108|2021-08-01 00:00:00.0|2|10|4|2|2|61
202108|2021-08-01 00:00:00.0|2|10|4|3|2|27
202108|2021-08-01 00:00:00.0|2|10|5|1|2|3
202108|2021-08-01 00:00:00.0|2|10|5|2|2|93
202108|2021-08-01 00:00:00.0|2|10|5|3|2|25
202108|2021-08-01 00:00:00.0|2|11|1|1|2|4
202108|2021-08-01 00:00:00.0|2|11|1|2|2|716
202108|2021-08-01 00:00:00.0|2|11|1|3|2|574
202108|2021-08-01 00:00:00.0|2|11|2|1|2|3
202108|2021-08-01 00:00:00.0|2|11|2|2|2|418
202108|2021-08-01 00:00:00.0|2|11|2|3|2|463
202108|2021-08-01 00:00:00.0|2|11|3|1|2|1
202108|2021-08-01 00:00:00.0|2|11|3|2|2|487
202108|2021-08-01 00:00:00.0|2|11|3|3|2|495
202108|2021-08-01 00:00:00.0|2|11|4|2|2|120
202108|2021-08-01 00:00:00.0|2|11|4|3|2|68
202108|2021-08-01 00:00:00.0|2|11|5|1|2|8
202108|2021-08-01 00:00:00.0|2|11|5|2|2|327
202108|2021-08-01 00:00:00.0|2|11|5|3|2|103
202108|2021-08-01 00:00:00.0|2|12|1|2|2|985
202108|2021-08-01 00:00:00.0|2|12|1|3|2|796
202108|2021-08-01 00:00:00.0|2|12|2|2|2|524
202108|2021-08-01 00:00:00.0|2|12|2|3|2|382
202108|2021-08-01 00:00:00.0|2|12|3|2|2|421
202108|2021-08-01 00:00:00.0|2|12|3|3|2|387
202108|2021-08-01 00:00:00.0|2|12|4|1|2|1
202108|2021-08-01 00:00:00.0|2|12|4|2|2|120
202108|2021-08-01 00:00:00.0|2|12|4|3|2|88
202108|2021-08-01 00:00:00.0|2|12|5|1|2|2
202108|2021-08-01 00:00:00.0|2|12|5|2|2|229
